Symbol,Security Name
MSFL,GraniteShares 2x Long MSFT Daily ETF
MSFT,Microsoft Corporation - Common Stock
MSFU,Direxion Daily MSFT Bull 2X Shares
MSGM,Motorsport Games Inc. - Class A Common Stock
MSGY,Masonglory Limited - Ordinary Shares
MSPR,"MSP Recovery, Inc. - Class A Common Stock"
MSPRW,"MSP Recovery, Inc. - Warrant"
MSPRZ,"MSP Recovery, Inc. - Warrant"
MSS,Maison Solutions Inc. - Class A Common Stock
MST,Defiance Leveraged Long Income MSTR ETF
MSTP,GraniteShares 2x Long MSTR Daily ETF
MSTR,Strategy Inc - Class A Common Stock
MSTX,Defiance Daily Target 2x Long MSTR ETF
MSW,Ming Shing Group Holdings Limited - Ordinary Shares
MTC,"MMTec, Inc. - Common Shares"
MTCH,"Match Group, Inc. - Common Stock"
MTEK,Maris-Tech Ltd. - ordinary shares
MTEKW,Maris-Tech Ltd. - Warrants
MTEN,Mingteng International Corporation Inc. - Ordinary Shares
MTEX,"Mannatech, Incorporated - Common Stock"
MTLS,Materialise NV - American Depositary Shares
MTRX,Matrix Service Company - Common Stock
MTSI,"MACOM Technology Solutions Holdings, Inc. - Common Stock"
MTSR,"Metsera, Inc. - Common Stock"
MTVA,MetaVia Inc.  - Common Stock
MU,"Micron Technology, Inc. - Common Stock"
MUD,Direxion Daily MU Bear 1X Shares
MULL,GraniteShares 2x Long MU Daily ETF
MULT,Franklin Multisector Income ETF
MURA,Mural Oncology plc - Ordinary Shares
MUU,Direxion Daily MU Bull 2X Shares
MVBF,MVB Financial Corp. - Common Stock
MVIS,"MicroVision, Inc. - Common Stock"
MVLL,GraniteShares 2x Long MRVL Daily ETF
MVST,"Microvast Holdings, Inc. - Common Stock"
MVSTW,"Microvast Holdings, Inc. - Warrant"
MWYN,"Marwynn Holdings, Inc. - Common stock"
MXCT,"MaxCyte, Inc. - Common Stock"
MXL,"MaxLinear, Inc - Common Stock"
MYCF,SPDR SSGA My2026 Corporate Bond ETF
MYCG,SPDR SSGA My2027 Corporate Bond ETF
MYCH,SPDR SSGA My2028 Corporate Bond ETF
MYCI,SPDR SSGA My2029 Corporate Bond ETF
MYCJ,SPDR SSGA My2030 Corporate Bond ETF
MYCK,SPDR SSGA My2031 Corporate Bond ETF
MYCL,SPDR SSGA My2032 Corporate Bond ETF
MYCM,SPDR SSGA My2033 Corporate Bond ETF
MYCN,SPDR SSGA My2034 Corporate Bond ETF
MYFW,"First Western Financial, Inc. - Common Stock"
MYGN,"Myriad Genetics, Inc. - Common Stock"
MYMF,SPDR SSGA My2026 Municipal Bond ETF
MYMG,SPDR SSGA My2027 Municipal Bond ETF
MYMH,SPDR SSGA My2028 Municipal Bond ETF
MYMI,SPDR SSGA My2029 Municipal Bond ETF
MYMJ,SPDR SSGA My2030 Municipal Bond ETF
MYNZ,Mainz Biomed N.V. - Ordinary Shares
MYPS,"PLAYSTUDIOS, Inc.  - Class A Common Stock"
MYPSW,"PLAYSTUDIOS, Inc.  - Warrant"
MYRG,"MYR Group, Inc. - Common Stock"
MYSE,"Myseum, Inc. - Common Stock"
MYSEW,"Myseum, Inc. - Series A Warrant"
MYSZ,"My Size, Inc. - Common Stock"
MZTI,The Marzetti Company - Common Stock
NA,Nano Labs Ltd - Class A Ordinary Shares
NAAS,NaaS Technology Inc. - American Depositary Shares
NAGE,"Niagen Bioscience, Inc. - Common Stock"
NAII,"Natural Alternatives International, Inc. - Common Stock"
NAKA,"Kindly MD, Inc. - Common Stock"
NAMI,Jinxin Technology Holding Company - American Depositary Shares
NAMM,Namib Minerals - Ordinary Shares
NAMMW,Namib Minerals - Warrants
NAMS,NewAmsterdam Pharma Company N.V. - Ordinary Shares
NAMSW,NewAmsterdam Pharma Company N.V. - Warrant
NAOV,"NanoVibronix, Inc. - Common Stock"
NATH,"Nathan's Famous, Inc. - Common Stock"
NATO,Themes Transatlantic Defense ETF
NATR,"Nature's Sunshine Products, Inc. - Common Stock"
