Ticker,Sector,Industry,Company_Type,Current_Price,DCF_Price,Technical_Price,Comparable_Price,Startup_Price,Equity Value,RSI 14,Current_Multiples,Technical Trend on MA,MA_20,MA_50,MA_200,Relative_Valuation,Last_Close,Market_Cap,PE_Ratio,Revenue_Growth,Quality_Score,Quality_Grade,Growth_Quality,Median_Growth,Current_Revenue,Implied_Value_Estimate,Key_Risks,Recommendation,Confidence,Signal-Bullish,Signal-Bearish,Signal-Neutral,Signal-DCF,Signal-Startup,Signal-Technical,Signal-Comparable,Risk_Level,Investment_Thesis,Data_Quality,Next_Steps,Errors
MSFT,Technology,Software - Infrastructure,mature_profitable,$510.15,$333.38,$472.21,$230.38,$0.00,"$2,478,103,064,877",51.367900960092115,"{'pe': 37.373627, 'ps': 13.460089, 'pb': 11.041252}",Downtrend,506.9515014648438,511.6370104980469,448.30174697875975,Overvalued,$0.00,"$3,792,029,876,224",37.373627,0.181,57,C,,0,$0,$0,[],SELL,Medium,[],"['DCF shows -35% downside', 'Technical: Downtrend', 'Trading above peer multiples']",[],Strong Sell,,Sell,Sell,Low,Stable dividend-paying company. DCF suggests Strong Sell with C quality metrics.,High,['Monitor for fundamental changes before reconsidering'],[]
ORCL,Technology,Software - Infrastructure,turnaround,$308.46,$37.38,$486.11,$90.45,$0.00,"$106,231,249,982",61.6531115146255,"{'pe': 71.23788, 'ps': 14.852335, 'pb': 36.280876}",Strong Uptrend,274.0544975280762,256.80999877929685,189.80815269470216,Overvalued,$0.00,"$876,555,075,584",71.23788,0.122,34,D,,0,$0,$0,['Weak financial health'],HOLD,Low,"['Technical: Strong Uptrend', 'Strong volume supporting uptrend']","['DCF shows -88% downside', 'Trading above peer multiples', 'Poor quality metrics']",[],Strong Sell,,Buy,Sell,Medium,Turnaround company requiring careful timing. Current signals: hold.,High,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement']",[]
IBM,Technology,Information Technology Services,mature_profitable,$267.53,$410.01,$345.76,$269.13,$0.00,"$381,931,781,924",63.961808578792564,"{'pe': 43.080513, 'ps': 3.8914638, 'pb': 9.059294}",Strong Uptrend,255.66399688720702,254.2582568359375,249.24305892944335,Undervalued,$0.00,"$249,209,339,904",43.080513,0.077,39,D,,0,$0,$0,['Weak financial health'],BUY,Medium,"['DCF shows 53% upside', 'Technical: Strong Uptrend', 'Trading below peer multiples']",['Poor quality metrics'],[],Strong Buy,,Buy,Buy,Medium,Stable dividend-paying company. DCF suggests Strong Buy with D quality metrics.,High,"['Consider position sizing based on risk tolerance', 'Monitor quarterly earnings for confirmation of thesis', 'Review management guidance and forward outlook']",[]
JNJ,Healthcare,Drug Manufacturers - General,mature_profitable,$176.69,$240.19,$210.70,$178.76,$0.00,"$578,457,485,059",54.04387587164318,"{'pe': 18.917559, 'ps': 4.6953936, 'pb': 5.4191074}",Strong Uptrend,176.94949951171876,172.85625762939452,156.88779541015626,Overvalued,$0.00,"$425,529,409,536",18.917559,0.058,62,B,,0,$0,$0,[],BUY,High,"['DCF shows 36% upside', 'Technical: Strong Uptrend', 'Good quality company metrics']",['Trading above peer multiples'],[],Strong Buy,,Buy,Sell,Low,Stable dividend-paying company. DCF suggests Strong Buy with B quality metrics.,High,"['Consider position sizing based on risk tolerance', 'Monitor quarterly earnings for confirmation of thesis', 'Review management guidance and forward outlook']",[]
UNH,Healthcare,Healthcare Plans,mature_profitable,$351.81,$795.71,$438.02,"$1,166.50",$0.00,"$720,654,285,171",70.05103766267013,"{'pe': 15.236465, 'ps': 0.7535749, 'pb': 3.3612313}",Uptrend,329.84138946533204,296.94334716796874,403.15189971923826,Undervalued,$0.00,"$318,625,021,952",15.236465,0.129,54,C,,0,$0,$0,[],BUY,Medium,"['DCF shows 126% upside', 'Technical: Uptrend', 'Trading below peer multiples']",[],[],Strong Buy,,Buy,Buy,Low,Stable dividend-paying company. DCF suggests Strong Buy with C quality metrics.,High,"['Consider position sizing based on risk tolerance', 'Monitor quarterly earnings for confirmation of thesis', 'Review management guidance and forward outlook']",[]
PG,Consumer Defensive,Household & Personal Products,mature_profitable,$152.42,$192.59,$161.61,$99.29,$0.00,"$450,750,084,581",37.55866869745514,"{'pe': 23.41321, 'ps': 4.2325563, 'pb': 6.967134}",Strong Downtrend,157.19650115966797,156.01197662353516,161.60574882507325,Overvalued,$0.00,"$356,736,761,856",23.41321,0.017,49,C,,0,$0,$0,[],HOLD,Medium,['DCF shows 26% upside'],"['Technical: Strong Downtrend', 'Trading above peer multiples']",[],Strong Buy,,Sell,Sell,Low,Stable dividend-paying company. DCF suggests Strong Buy with C quality metrics.,High,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement']",[]
KO,Consumer Defensive,Beverages - Non-Alcoholic,mature_profitable,$66.45,$33.76,$63.05,$36.60,$0.00,"$145,294,184,284",40.10220695566426,"{'pe': 23.56383, 'ps': 6.0766363, 'pb': 10.006023}",Downtrend,67.18514900207519,68.31484298706054,67.5035538482666,Overvalued,$0.00,"$285,978,656,768",23.56383,0.014,47,C,,0,$0,$0,[],SELL,Medium,[],"['DCF shows -49% downside', 'Technical: Downtrend', 'Trading above peer multiples']",[],Strong Sell,,Sell,Sell,Low,Stable dividend-paying company. DCF suggests Strong Sell with C quality metrics.,High,['Monitor for fundamental changes before reconsidering'],[]
NEE,Utilities,Utilities - Regulated Electric,mature_profitable,$73.83,$52.31,$94.98,$30.97,$0.00,"$107,721,647,464",60.62402880417407,"{'pe': 25.724741, 'ps': 5.8704033, 'pb': 2.9930677}",Strong Uptrend,71.46814994812011,72.33813858032227,70.14617893218994,Overvalued,$0.00,"$152,037,572,608",25.724741,0.104,39,D,,0,$0,$0,['Weak financial health'],SELL,Medium,['Technical: Strong Uptrend'],"['DCF shows -29% downside', 'Trading above peer multiples', 'Poor quality metrics']",[],Strong Sell,,Buy,Sell,Medium,Stable dividend-paying company. DCF suggests Strong Sell with D quality metrics.,High,['Monitor for fundamental changes before reconsidering'],[]
CRM,Technology,Software - Application,mature_profitable,$245.89,$584.39,$282.31,$276.21,$0.00,"$556,335,434,659",48.750197695381665,"{'pe': 35.791847, 'ps': 5.9259605, 'pb': 3.8289886}",Strong Downtrend,247.5227912902832,249.7731854248047,282.3118926239014,Undervalued,$0.00,"$234,087,284,736",35.791847,0.098,52,C,,0,$0,$0,[],BUY,Medium,"['DCF shows 138% upside', 'Trading below peer multiples']",['Technical: Strong Downtrend'],[],Strong Buy,,Sell,Buy,Low,Stable dividend-paying company. DCF suggests Strong Buy with C quality metrics.,High,"['Consider position sizing based on risk tolerance', 'Monitor quarterly earnings for confirmation of thesis', 'Review management guidance and forward outlook']",[]
DDOG,Technology,Software - Application,growth_profitable,$136.57,$98.21,$118.71,$43.39,$0.00,"$31,749,688,245",51.25419623157715,"{'pe': 379.3611, 'ps': 15.791525, 'pb': 14.898005}",Downtrend,136.58550109863282,136.62940170288087,127.17202522277832,Overvalued,$0.00,"$47,628,124,160",379.3611,0.281,44,C,,0,$0,$0,[],SELL,Medium,[],"['DCF shows -28% downside', 'Technical: Downtrend', 'Trading above peer multiples']",[],Strong Sell,,Sell,Sell,Low,Growth company with C fundamentals. Multiple analysis methods suggest sell.,High,['Monitor for fundamental changes before reconsidering'],[]
