Ticker,Sector,Industry,Company_Type,Current_Price,DCF_Price,Technical_Price,Comparable_Price,Startup_Price,Equity Value,RSI 14,Current_Multiples,Technical Trend on MA,MA_20,MA_50,MA_200,Relative_Valuation,Last_Close,Market_Cap,PE_Ratio,Revenue_Growth,Quality_Score,Quality_Grade,Growth_Quality,Median_Growth,Current_Revenue,Implied_Value_Estimate,Key_Risks,Recommendation,Confidence,Signal-Bullish,Signal-Bearish,Signal-Neutral,Signal-DCF,Signal-Startup,Signal-Technical,Signal-Comparable,Risk_Level,Investment_Thesis,Data_Quality,Next_Steps,Errors
AAPL,Technology,Consumer Electronics,mature_profitable,$252.31,$228.47,$334.69,$149.50,$0.00,"$3,390,509,767,645",68.91870592641882,"{'pe': 38.286797, 'ps': 9.163362, 'pb': 56.941998}",Strong Uptrend,238.3004997253418,226.5211441040039,221.41847633361817,Overvalued,$0.00,"$3,744,378,650,624",38.286797,0.096,34,D,,0,$0,$0,['Weak financial health'],HOLD,Medium,"['Technical: Strong Uptrend', 'Strong volume supporting uptrend']","['Trading above peer multiples', 'Poor quality metrics']",['DCF suggests fair valuation'],Hold,,Buy,Sell,Medium,Stable dividend-paying company. DCF suggests Hold with D quality metrics.,High,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement']",[]
AACB,Financial Services,Shell Companies,financial,$10.15,$0.00,$10.29,$0.00,$0.00,$0,62.76013743334725,"{'pe': None, 'ps': None, 'pb': -23.015871}",Short-term Uptrend,10.135600042343139,10.132140045166016,,Fair,$0.00,"$280,901,248",,,3,D,,0,$0,$0,"['Weak financial health', 'Limited financial data availability']",HOLD,Low,['Technical: Short-term Uptrend'],['Poor quality metrics'],['Fair valuation vs peers'],,,Buy,Hold,Medium,Financial company requiring careful timing. Current signals: hold.,Low,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement', 'Seek additional data sources beyond yFinance']",[]
AACBR,,,startup_loss_making,$0.23,$0.00,$0.23,$0.00,$0.00,$0,,,Insufficient Moving Averages Data,,,,N/A,$0.00,$0,,,3,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,[],"['Critical cash runway or poor growth', 'Poor quality metrics']",['Technical: Insufficient Moving Averages Data'],,Avoid,Neutral,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
AACBU,Financial Services,Shell Companies,financial,$10.30,$0.00,$10.02,$0.00,$0.00,$0,44.19853664616844,"{'pe': None, 'ps': None, 'pb': -23.356009}",Short-term Downtrend,10.331000137329102,10.348200149536133,,Fair,$0.00,"$259,302,512",,,3,D,,0,$0,$0,"['Weak financial health', 'Limited financial data availability']",SELL,Medium,[],"['Technical: Short-term Downtrend', 'Poor quality metrics']",['Fair valuation vs peers'],,,Sell,Hold,Medium,Financial company requiring careful timing. Current signals: sell.,Low,"['Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
AACG,Consumer Defensive,Education & Training Services,startup_loss_making,$1.83,$0.00,$4.03,$0.00,$16.61,$0,42.53754194583441,,Strong Uptrend,2.193000000715256,1.7850000023841859,1.1146499991416932,N/A,$0.00,"$57,872,836",,0.08,5,D,Weak (<15%),7.2%,"$268,060,162","$536,120,324","['Bankruptcy risk', 'High risk: <2 years cash runway', 'Weak financial health']",AVOID,High,['Technical: Strong Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
AACI,Financial Services,Shell Companies,financial,$10.33,$0.00,$10.66,$0.00,$0.00,$0,59.964254559199595,"{'pe': None, 'ps': None, 'pb': -37.97794}",Short-term Uptrend,10.283250045776366,10.200300045013428,,Fair,$0.00,"$407,725,088",,,5,D,,0,$0,$0,"['Weak financial health', 'Limited financial data availability']",HOLD,Low,['Technical: Short-term Uptrend'],['Poor quality metrics'],['Fair valuation vs peers'],,,Buy,Hold,Medium,Financial company requiring careful timing. Current signals: hold.,Low,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement', 'Seek additional data sources beyond yFinance']",[]
AACIU,Financial Services,Shell Companies,financial,$10.55,$0.00,$11.05,$0.00,$0.00,$0,53.430831823874996,"{'pe': None, 'ps': None, 'pb': -38.786762}",Short-term Uptrend,10.580000257492065,10.424500064849854,,Fair,$0.00,$0,,,5,D,,0,$0,$0,"['Weak financial health', 'Limited financial data availability']",HOLD,Low,['Technical: Short-term Uptrend'],['Poor quality metrics'],['Fair valuation vs peers'],,,Buy,Hold,Medium,Financial company requiring careful timing. Current signals: hold.,Low,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement', 'Seek additional data sources beyond yFinance']",[]
AACIW,Financial Services,Shell Companies,financial,$0.80,$0.00,$0.80,$0.00,$0.00,$0,,"{'pe': None, 'ps': None, 'pb': -2.9319851}",Insufficient Moving Averages Data,,,,Fair,$0.00,$0,,,5,D,,0,$0,$0,"['Weak financial health', 'Limited financial data availability']",HOLD,Low,[],['Poor quality metrics'],"['Technical: Insufficient Moving Averages Data', 'Fair valuation vs peers']",,,Neutral,Hold,Medium,Financial company requiring careful timing. Current signals: hold.,Low,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement', 'Seek additional data sources beyond yFinance']",[]
AADR,,,startup_loss_making,$0.00,$0.00,$105.93,$0.00,$0.00,$0,65.33035112697073,,Strong Uptrend,83.99483604431153,81.82640090942382,76.3077435684204,N/A,$0.00,$0,16.163181,,20,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,['Technical: Strong Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
AAL,Industrials,Airlines,cyclical,$11.94,$0.00,$13.09,$80.18,$0.00,$0,36.908334240910456,"{'pe': 14.214286, 'ps': 0.14522314, 'pb': -2.0358057}",Strong Downtrend,12.790999841690063,12.473199920654297,13.094899969100952,Undervalued,$0.00,"$7,878,355,456",14.214286,0.004,36,D,,0,$0,$0,['Weak financial health'],SELL,Medium,['Trading below peer multiples'],"['Technical: Strong Downtrend', 'High volume selling pressure', 'Poor quality metrics']",[],,,Sell,Buy,Medium,Cyclical company requiring careful timing. Current signals: sell.,Medium,['Monitor for fundamental changes before reconsidering'],[]
