Symbol,Security Name
14D.ax,1414 DEGREES LIMITED
29M.ax,29METALS LIMITED
T3D.ax,333D LIMITED
TGP.ax,360 CAPITAL GROUP
TCF.ax,360 CAPITAL MORTGAGE REIT
TOT.ax,360 CAPITAL REIT
TDO.ax,3D ENERGI LIMITED
3PL.ax,3P LEARNING LIMITED..
4DX.ax,4DMEDICAL LIMITED
4DS.ax,4DS MEMORY LIMITED
5EA.ax,5E ADVANCED MATERIALS INC.
5GN.ax,5G NETWORKS LIMITED.
88E.ax,88 ENERGY LIMITED
8CO.ax,8COMMON LIMITED
8IH.ax,8I HOLDINGS LTD
ABG.ax,ABACUS GROUP
ASK.ax,ABACUS STORAGE KING
ABX.ax,ABX GROUP LIMITED
AKG.ax,ACADEMIES AUSTRALASIA GROUP LIMITED
AX8.ax,ACCELERATE RESOURCES LIMITED
AX1.ax,ACCENT GROUP LIMITED
ACS.ax,ACCENT RESOURCES NL
ADC.ax,ACDC METALS LTD
ACQ.ax,ACORN CAPITAL INVESTMENT FUND LIMITED
ACF.ax,ACROW LIMITED
ACR.ax,ACRUX LIMITED
ACW.ax,ACTINOGEN MEDICAL LIMITED
ATV.ax,ACTIVEPORT GROUP LTD
AIV.ax,ACTIVEX LIMITED
ACU.ax,ACUMENTIS GROUP LIMITED
ACE.ax,ACUSENSUS LIMITED.
ADH.ax,ADAIRS LIMITED
1AD.ax,ADALTA LIMITED
ADD.ax,ADAVALE RESOURCES LIMITED
ADG.ax,ADELONG GOLD LIMITED
ADR.ax,ADHERIUM LIMITED
AI1.ax,ADISYN LTD
ADY.ax,ADMIRALTY RESOURCES NL.
AD1.ax,ADNEO LIMITED
ABY.ax,ADORE BEAUTY GROUP LIMITED
AHL.ax,ADRAD HOLDINGS LIMITED
ADS.ax,ADSLOT LTD.
AVM.ax,ADVANCE METALS LIMITED
ANO.ax,ADVANCE ZINCTEK LIMITED
ABV.ax,ADVANCED BRAKING TECHNOLOGY LTD
AHI.ax,ADVANCED HEALTH INTELLIGENCE LTD
AV1.ax,ADVERITAS LIMITED
ADX.ax,ADX ENERGY LTD
AER.ax,AEERIS LTD
AEI.ax,AERIS ENVIRONMENTAL LTD
AIS.ax,AERIS RESOURCES LIMITED
AMX.ax,AEROMETREX LIMITED
AFL.ax,AF LEGAL GROUP LTD
AFT.ax,AFG 2023-1 TRUST IN RESPECT OF SERIES 2023-1
AF4.ax,AFG 2024-1 TRUST IN RESPECT OF SERIES 2024-1
AF5.ax,AFG 2025-1NC TRUST IN RESPECT OF SERIES 2025-1NC
A1G.ax,AFRICAN GOLD LTD.
AFP.ax,AFT PHARMACEUTICALS LIMITED
AGL.ax,AGL ENERGY LIMITED.
AMN.ax,AGRIMIN LIMITED
AGR.ax,AGUIA RESOURCES LIMITED
AIM.ax,AI-MEDIA TECHNOLOGIES LIMITED
A1M.ax,AIC MINES LIMITED
APW.ax,AIMS PROPERTY SECURITIES FUND
AGI.ax,AINSWORTH GAME TECHNOLOGY LIMITED
AIZ.ax,AIR NEW ZEALAND LIMITED
