Symbol,Security Name
2CC.NZ,2 Cheap Cars Group Limited
AFC.NZ,AFC Group Holdings Limited
AFI.NZ,Australian Foundation Investment Company Limited
AFT.NZ,AFT Pharmaceuticals Limited
AGG.NZ,Smart Global Aggregate Bond ETF
AGL.NZ,Accordant Group Limited
AIA.NZ,Auckland International Airport Limited
AIR.NZ,Air New Zealand Limited (NS)
ALF.NZ,Allied Farmers Limited (NS)
ANZ.NZ,ANZ Group Holdings Limited
AOF.NZ,AoFrio Limited
APA.NZ,Smart Asia Pacific ETF
APL.NZ,Asset Plus Limited
ARB.NZ,ArborGen Holdings Limited
ARG.NZ,Argosy Property Limited
ASD.NZ,Smart Australian Dividend ETF
ASF.NZ,Smart Australian Financials ETF
ASP.NZ,Smart Australian Property ETF
ASR.NZ,Smart Australian Resources ETF
ATM.NZ,The a2 Milk Company Limited
AUE.NZ,Smart Australian ESG ETF
AUS.NZ,Smart Australian Top 200 ETF
BAI.NZ,Being AI Limited
BFG.NZ,Burger Fuel Group Limited
BGP.NZ,Briscoe Group Limited
BIF.NZ,Booster Innovation Fund
BIT.NZ,The Bankers Investment Trust Plc
BLT.NZ,Blis Technologies Limited
BOT.NZ,Smart Automation and Robotics ETF
BPG.NZ,Black Pearl Group Limited
BRM.NZ,Barramundi Limited
BRMWI.NZ,Barramundi Limited
BRW.NZ,Bremworth Limited
BTC.NZ,Smart Bitcoin ETF
CCC.NZ,Cooks Coffee Company Limited
CDI.NZ,CDL Investments New Zealand Limited
CEN.NZ,Contact Energy Limited
CHI.NZ,Channel Infrastructure NZ Limited
CMO.NZ,The Colonial Motor Company Limited
CNU.NZ,Chorus Limited (NS)
CO2.NZ,Carbon Fund
CRP.NZ,Chatham Rock Phosphate Limited
CVT.NZ,Comvita Limited
DGL.NZ,Delegat Group Limited
DIV.NZ,Smart NZ Dividend ETF
DOW.NZ,Downer EDI Limited
EBO.NZ,Ebos Group Limited
EMF.NZ,Smart Emerging Markets ETF
EMG.NZ,Smart Emerging Markets ESG ETF
ENS.NZ,Enprise Group Limited
ERD.NZ,EROAD Limited
ESG.NZ,Smart Global ESG ETF
EUF.NZ,Smart Europe ETF
EUG.NZ,Smart Europe ESG ETF
FBU.NZ,Fletcher Building Limited
FCG.NZ,Fonterra Co-operative Group Limited (NS)
